question,bloom_label
Explain C programming for problem solving and describe its applications.,1
Apply Embedded C programming to solve a real-world problem.,2
Design a Theory of Computation system to handle X problem in an engineering context.,5
Define Deep Learning.,0
Evaluate the effectiveness of Theory of Computation in solving industry-specific problems.,4
Design a Parallel Computing system to handle X problem in an engineering context.,5
Explain Data Structures and Algorithm and describe its applications.,1
Design a Automata Theory system to handle X problem in an engineering context.,5
Apply DBMS to solve a real-world problem.,2
Apply Internet of Things (IoT) to solve a real-world problem.,2
Design a Networking Protocols system to handle X problem in an engineering context.,5
Define Binary search.,0
Design a Operating Systems system to handle X problem in an engineering context.,5
Define Cloud Infrastructure.,0
Explain TCP/IP protocol and describe its applications.,1
Design a Object-Oriented Programming (OOP) system to handle X problem in an engineering context.,5
Explain Database Design and describe its applications.,1
Design a Pattern Recognition system to handle X problem in an engineering context.,5
Design a Parallel Computing system to handle X problem in an engineering context.,5
Define Blockchain Technology.,0
Apply Graph Theory to solve a real-world problem.,2
Analyze the implementation of Compiler Design in a given scenario.,3
Design a Internet of Things (IoT) system to handle X problem in an engineering context.,5
Define Embedded C programming.,0
Define Graph Theory.,0
Define Operating System principles and programming.,0
Evaluate the effectiveness of Database Management Systems in solving industry-specific problems.,4
Explain Blockchain and describe its applications.,1
Define C programming for problem solving.,0
Explain Blockchain Technology and describe its applications.,1
Explain Computer Graphics and describe its applications.,1
Evaluate the effectiveness of Operating Systems in solving industry-specific problems.,4
Design a Operating System principles and programming system to handle X problem in an engineering context.,5
Design a Big Data system to handle X problem in an engineering context.,5
Explain Artificial Intelligence and describe its applications.,1
Evaluate the effectiveness of Multivariable Calculus in solving industry-specific problems.,4
Apply Augmented Reality to solve a real-world problem.,2
Define Problem solving with data structures.,0
Apply Computer Networks to solve a real-world problem.,2
Analyze the implementation of Binary search in a given scenario.,3
Design a Encryption techniques system to handle X problem in an engineering context.,5
Define Parallel Programming.,0
Explain Linux programming and describe its applications.,1
Define File Systems.,0
Define Real-time Systems.,0
Design a Memory management system to handle X problem in an engineering context.,5
Evaluate the effectiveness of Compiler Design in solving industry-specific problems.,4
Define Python programming.,0
Design a Memory management system to handle X problem in an engineering context.,5
Define Compiler Design.,0
Explain Theory of Computation and describe its applications.,1
Analyze the implementation of Cloud Security in a given scenario.,3
Analyze the implementation of Database Management Systems in a given scenario.,3
Define Blockchain Technology.,0
Analyze the implementation of Data Structures and Algorithm in a given scenario.,3
Apply Sorting algorithms to solve a real-world problem.,2
Define Pattern Recognition.,0
Define Discrete mathematical structures.,0
Design a Agile methodologies system to handle X problem in an engineering context.,5
Explain Advanced Algorithms and describe its applications.,1
Define Computer organization and architecture.,0
Explain Parallel Programming and describe its applications.,1
Design a Digital Logic Design system to handle X problem in an engineering context.,5
Explain Augmented Reality and describe its applications.,1
Explain Linear Algebra and describe its applications.,1
Analyze the implementation of Operating System principles and programming in a given scenario.,3
Design a Object-Oriented Design system to handle X problem in an engineering context.,5
Explain Real-time Systems and describe its applications.,1
Evaluate the effectiveness of Formal Languages in solving industry-specific problems.,4
Evaluate the effectiveness of Cloud Security in solving industry-specific problems.,4
Analyze the implementation of Multivariable Calculus in a given scenario.,3
Analyze the implementation of Discrete mathematical structures in a given scenario.,3
Apply Encryption techniques to solve a real-world problem.,2
Design a Digital Logic Design system to handle X problem in an engineering context.,5
Explain File Systems and describe its applications.,1
Evaluate the effectiveness of Binary search in solving industry-specific problems.,4
Define Binary search.,0
Apply Memory management to solve a real-world problem.,2
Apply Network Security to solve a real-world problem.,2
Evaluate the effectiveness of Digital Signal Processing in solving industry-specific problems.,4
Apply Parallel Programming to solve a real-world problem.,2
Apply DBMS to solve a real-world problem.,2
Explain Internet of Things (IoT) and describe its applications.,1
Apply Virtual Reality to solve a real-world problem.,2
Explain Natural Language Processing (NLP) and describe its applications.,1
Analyze the implementation of Embedded C programming in a given scenario.,3
Explain Binary search and describe its applications.,1
Evaluate the effectiveness of Digital Logic Design in solving industry-specific problems.,4
Evaluate the effectiveness of Machine Learning in solving industry-specific problems.,4
Explain Mathematical Logic and describe its applications.,1
Evaluate the effectiveness of Compiler Design in solving industry-specific problems.,4
Apply Embedded Systems to solve a real-world problem.,2
Evaluate the effectiveness of Cryptography in solving industry-specific problems.,4
Apply Machine Learning to solve a real-world problem.,2
Define Computer Graphics.,0
Analyze the implementation of Operating System principles and programming in a given scenario.,3
Design a Problem solving with data structures system to handle X problem in an engineering context.,5
Apply Object-Oriented Programming (OOP) to solve a real-world problem.,2
Explain Software Testing and describe its applications.,1
Analyze the implementation of Deep Learning in a given scenario.,3
Evaluate the effectiveness of Deep Learning in solving industry-specific problems.,4
Design a Operating System principles and programming system to handle X problem in an engineering context.,5
Evaluate the effectiveness of Blockchain in solving industry-specific problems.,4
Analyze the implementation of Virtual Reality in a given scenario.,3
Evaluate the effectiveness of Distributed Databases in solving industry-specific problems.,4
Evaluate the effectiveness of TCP/IP protocol in solving industry-specific problems.,4
Evaluate the effectiveness of Networking Protocols in solving industry-specific problems.,4
Design a Database Management Systems system to handle X problem in an engineering context.,5
Define Multivariable Calculus.,0
Apply Mobile App Development to solve a real-world problem.,2
Explain Embedded Systems and describe its applications.,1
Evaluate the effectiveness of Optimization Techniques in solving industry-specific problems.,4
Apply Database Management Systems to solve a real-world problem.,2
Analyze the implementation of Natural Language Processing (NLP) in a given scenario.,3
Analyze the implementation of Agile methodologies in a given scenario.,3
Define Natural Language Processing (NLP).,0
Explain Linux programming and describe its applications.,1
Apply Operating Systems to solve a real-world problem.,2
Evaluate the effectiveness of C programming for problem solving in solving industry-specific problems.,4
Define Linux programming.,0
Evaluate the effectiveness of TCP/IP protocol in solving industry-specific problems.,4
Evaluate the effectiveness of Natural Language Processing (NLP) in solving industry-specific problems.,4
Explain Cloud Security and describe its applications.,1
Explain Mobile App Development and describe its applications.,1
Apply Machine Learning to solve a real-world problem.,2
Evaluate the effectiveness of Cloud Security in solving industry-specific problems.,4
Apply Distributed Databases to solve a real-world problem.,2
Analyze the implementation of Encryption techniques in a given scenario.,3
Define Optimization Techniques.,0
Evaluate the effectiveness of Optimization Techniques in solving industry-specific problems.,4
Explain Theory of Computation and describe its applications.,1
Explain Digital Logic Design and describe its applications.,1
Define Big Data.,0
Evaluate the effectiveness of Natural Language Processing (NLP) in solving industry-specific problems.,4
Apply TCP/IP protocol to solve a real-world problem.,2
Design a Object-Oriented Design system to handle X problem in an engineering context.,5
Analyze the implementation of Computer organization and architecture in a given scenario.,3
Apply Cloud Infrastructure to solve a real-world problem.,2
Analyze the implementation of Real-time Systems in a given scenario.,3
Analyze the implementation of Digital Logic Design in a given scenario.,3
Design a Data Mining system to handle X problem in an engineering context.,5
Apply DBMS to solve a real-world problem.,2
Explain Graph Theory and describe its applications.,1
Explain Optimization Techniques and describe its applications.,1
Apply Problem solving with data structures to solve a real-world problem.,2
Analyze the implementation of Object-Oriented Design in a given scenario.,3
Explain Web Development and describe its applications.,1
Define Database Management Systems.,0
Explain Mobile App Development and describe its applications.,1
Design a Computer Vision system to handle X problem in an engineering context.,5
Define Software Engineering.,0
Design a Bioinformatics system to handle X problem in an engineering context.,5
Explain Blockchain and describe its applications.,1
Evaluate the effectiveness of Big Data in solving industry-specific problems.,4
